ID,Category,Question,Answer,Link to resource
1,IT Standard,How can 2021 students meet the basic IT standard?,Students can take the internal exam or submit a basic IT application certificate or IC3.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
2,IT Standard,Can the MOS certificate replace the basic IT certificate?,"No, the MOS certificate cannot be used to replace the basic IT or IC3 certificate.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
3,IT Standard,When do first-year students take the basic IT exam?,The internal exam is organized once for free around the 4th week of the first semester.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
4,IT Standard,Where should students submit their IT certificate?,Students can register and submit it via the MyBK portal under the Student Apps section.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
5,IT Standard,How long does it take to verify the IT certificate?,"The Academic Affairs Office will verify it, and results are expected after 4 weeks.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
6,IT Standard,Who is required to have the advanced IT standard (MOS)?,"It applies to students in English-taught and Advanced programs from 2023, and Japanese-oriented programs from 2024 to register for their graduation thesis.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
7,IT Standard,When does the free MOS exam take place?,"It is held once for free for second-year students, usually at the end of their second year.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
8,Foreign Language,What is the first-year foreign language standard used for?,It is required in order to register for the English 1 course.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
9,Student Level,What are the basic conditions to reach Level 2 (SV_N2)?,Students must accumulate at least 28 credits and meet the second-year foreign language standard and basic IT standard.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
10,Student Level,Which courses can a Level 2 student register for?,They are only allowed to register for courses belonging to the 1st and 2nd-year levels.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
11,Student Level,What extra condition is needed for International Program students to reach Level 2?,Students from the 2025 cohort must complete a minimum of 2 thematic courses regarding skills and physical education.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
12,Student Level,How many credits are required for Level 3 (SV_N3)?,Students must achieve an accumulated credit count greater than or equal to 56.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
13,Student Level,What English level is needed for Level 3?,"Students must meet the third-year foreign language standard, which means passing English 1, 2, and 3.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
14,Student Level,What physical and defense education requirements apply for Level 3?,Students must complete both the National Defense-Security Education and Physical Education programs.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
15,Student Level,What courses are available for a Level 4 (SV_N4) student?,"They can register for courses belonging to the 1st, 2nd, 3rd, and 4th-year levels.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
16,Student Level,What extra academic modules must the 2024 cohort finish for Level 4?,"They must complete modules in Mathematics, Natural Sciences, and Management/Entrepreneurship or out-of-major technical courses.",https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
17,Internship,What is the credit requirement for an Off-campus Internship?,Students must accumulate at least 65% of the total credits of their training program.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
18,Internship,How many credits does the PFIEV program require for an internship?,PFIEV and Ship-Aviation dual degree students only need to accumulate at least 52% of their program's credits.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
19,Internship,What are the conditions for PFIEV Engineering Internship?,Students must accumulate at least 72% of program credits and maintain a GPA of 2.0 or higher.,https://mybk.hcmut.edu.vn/bksi/public/vi/article/80
